timestamp,src_ip,dst_ip,src_port,dst_port,protocol,payload_size,dns_query,http_host,http_uri,flags,is_suspicious
2025-01-22T19:44:56.530137+00:00,0.0.0.0,255.255.255.255,68.0,67.0,UDP,344,,,,,False
2025-01-22T19:44:56.531008+00:00,10.1.17.2,255.255.255.255,67.0,68.0,UDP,354,,,,,False
2025-01-22T19:44:56.532026+00:00,0.0.0.0,255.255.255.255,68.0,67.0,UDP,390,,,,,False
2025-01-22T19:44:56.533016+00:00,10.1.17.2,255.255.255.255,67.0,68.0,UDP,359,,,,,False
2025-01-22T19:44:56.544983+00:00,10.1.17.215,10.1.17.2,57386.0,53.0,UDP,131,_ldap._tcp.Default-First-Site-Name._sites.dc._msdcs.bluemoontuesday.com,,,,False
2025-01-22T19:44:56.545341+00:00,10.1.17.2,10.1.17.215,53.0,57386.0,UDP,202,_ldap._tcp.Default-First-Site-Name._sites.dc._msdcs.bluemoontuesday.com,,,,False
2025-01-22T19:44:56.545732+00:00,10.1.17.215,224.0.0.252,56330.0,5355.0,UDP,75,,,,,False
2025-01-22T19:44:56.545733+00:00,10.1.17.215,10.1.17.2,58958.0,53.0,UDP,95,win-gsh54qlw48d.bluemoontuesday.com,,,,False
2025-01-22T19:44:56.546173+00:00,10.1.17.2,10.1.17.215,53.0,58958.0,UDP,111,win-gsh54qlw48d.bluemoontuesday.com,,,,False
2025-01-22T19:44:56.546421+00:00,10.1.17.215,10.1.17.2,50322.0,53.0,UDP,95,DESKTOP-L8C5GSJ.bluemoontuesday.com,,,,False
2025-01-22T19:44:56.546685+00:00,10.1.17.2,10.1.17.215,53.0,50322.0,UDP,174,DESKTOP-L8C5GSJ.bluemoontuesday.com,,,,False
2025-01-22T19:44:56.546686+00:00,10.1.17.215,10.1.17.2,50323.0,389.0,UDP,242,,,,,False
2025-01-22T19:44:56.547155+00:00,10.1.17.2,10.1.17.215,389.0,50323.0,UDP,224,,,,,False
2025-01-22T19:44:56.547663+00:00,10.1.17.215,10.1.17.2,58958.0,53.0,UDP,166,bluemoontuesday.com,,,,False
2025-01-22T19:44:56.548911+00:00,10.1.17.2,10.1.17.215,53.0,58958.0,UDP,166,bluemoontuesday.com,,,,False
2025-01-22T19:44:56.609856+00:00,10.1.17.215,10.1.17.255,137.0,137.0,UDP,110,,,,,False
2025-01-22T19:44:56.609856+00:00,10.1.17.215,10.1.17.255,137.0,137.0,UDP,110,,,,,False
